mountaineer;Bergsteiger;
admissible;zulässig;acceptable or valid, especially as evidence in a court of law
sluggish;schwerfällig;"(adj.) lazy; slow-moving; not active, dull"
troublesome;lästig;"difficult; causing annoyance, bother, or worry"
quarrelsome;streitsüchtig;always ready to argue
windproof;windfest;resistant to the wind
regrettable;bedauerlich;
regretful;bedauernd;feeling or showing regret
unbearable;untragbar;intolerable
careless;leichtsinnig;antonym of careful
countless;zahllos;innumberable
faithless;ungläubig;"Without faith; unbelieving"
unfaithful;untreu;disloyal
uncover;aufdecken;"to make known; reveal; expose"
discover;entdecken;to find out
disgraceful;skandalös;shockingly unacceptable
ungraceful;plump, unfein;"not pleasing in form or action; not refined or elegant"
unloyal, disloyal;untreu (zwei Wörter);
loyalty;Ergebenheit;A feeling of devotion, duty, or attachment to somebody or something
inconclusive;uneindeutig;providing no clear answer or solution
infamous;berüchtigt;having a bad reputation
employer, employee;Arbeitgeber, Angestelle;"person derived from ""employ"" (2)"
weakling;Schwächling;"person derived from ""weak"""
machinist;Maschinist;
youth;Jugend;
youngster;Jugendlicher;
engineer;Ingenieur;
ladyship;Damen;
height;Höhe;
parenthood;Elternschaft;
auctioneer;Auktionär;
cleanliness;Sauberkeit;
hardship;Not;
wisdom;Weisheit;
belief;Glaube;
(to hand in your)resignation;Kündigung (einreichen);
refusal;Verweigerung;
fulfilment;Erfüllung, Vollziehung;
confinement;Einschränkung;
to strengthen;bestärken;
to loosen;lockern;
to heighten;erhöhen;
to lessen;mindern;
to domesticate;zähmen;
to intensify;intesivieren;
to nullify;für ungültig erklären;
to enslave;versklaven;
to bewitch;verhexen;
to enrage;erzürnen;
to belittle sb;jnd herabsetzen;to make sb feel unimportant
to enforce;durchsetzen;to make sure that people obey a particular law or rule
to entangle;verwickeln;to make somebody/something become caught or twisted in something
to untangle;entwirren;
to brutalize;brutalisieren;
to energise;einschalten;
;;
daily;täglich;
miscounted;verzählt;counted wrongly
discounted;herabgesetzt;reduced
uncountable;unzählbar;
-some;<Adjektiv/Eigenschaft>-voll;
cumbersome;schwerfällig, unhandlich;"(adj.) clumsy, hard to handle; slow-moving"
gruesome;grauenhaft;horrible, revolting, ghastly
stem;Stamm;morpheme that carries the main meaning of the word
suffix;Nachsilbe;a morpheme that is put behind the root word
prefix;Vorsilbe;A morpheme that is put in front of the root word
twelvish;so ca. um Zwölf;about twelve o'clock
;;
payment;Zahlung;
baggage;Gepäck;
application;Anwendung;
appearance;Erscheinung;
springlike;frühlingshaft;
creditworthy;kreditwürdig;
greenish;grünlich;
godlike;göttlich;
edible;essbar;
inedible;ungeniessbar;
legible;leserlich;
illegible;unleserlich;
intelligible;verständlich;
unintelligible;unverständlich;
apprenticeship;Lehre;
readership;Leserschaft;
humility;Bescheidenheit, Demut;
