Il faut que je sois patient.;Ich muss geduldig sein.
Je veux que tout le monde puisse participer.;Ich will, dass jeder teilnehmen kann.
J'aimerais qu'il sache que je pense à lui.;Ich möchte gerne, dass er weiss, dass ich an ihn denke.
Je veux que tous les enfants aient le droit d'aller à l'école.;Ich will, dass alle Kinder das Recht haben, zur Schule zu gehen.
Il est important que nous fassions quelque chose pour l'environnement.;Es ist wichtig, dass wir etwas für die Umwelt machen.
un/une documentaliste;ein Dokumentarfilmer /eine Dokumentarfilmerin
un/une guide;ein Reiseführer/eine Reiseführerin
un/une interprète;ein Übersetzer/eine Übersetzerin
un/une journaliste;ein Journalist/eine Journalistin
un/une photographe;ein Fotograf/eine FotografIn
un/une propriétaire;ein Besitzer/eine Besitzerin
un/une touriste;ein Tourist/eine Touristin
un client/ une cliente;ein Kunde/eine Kundin
un cousin/une cousine;ein Cousin/eine Cousine
un employé/une employée;ein Angestellter/eine Angestellte
un patient/une patiente;ein Patient/eine Patientin
un représentant/une représentante;ein Vertreter/eine Vertretin
un surveillant/une surveillante;ein Aufpasser/eine Aufpasserin
un blogueur/une blogueuse;ein Blogger/eine Bloggerin
un chanteur/une chanteuse;ein Sänger/eine Sängerin
un ingénieur/une ingénieuse;ein Ingenieur/eine Ingenieurin
un voleur/une voleuse;ein Dieb/eine Diebin
un visiteur/une visiteuse;ein Besucher/eine Besucherin
un youtubeur/une youtubeuse;ein Youtuber/eine Youtuberin
un créateur/une créatrice;ein Hersteller/eine Herstellerin
un dessinateur/une dessinatrice;ein Zeichner/eine Zeichnerin
un organisateur/une organisatrice;ein Organisator/eine Organisatorin
un rédacteur/une rédactrice;ein Redakteur, eine Redakteurin
un utilisateur/une utilisatrice;ein Nutzer/ eine Nutzerin
un mécanicien une mécanicienne;ein Mechaniker/eine Mechanikerin
un musicien/une musicienne;ein Musiker/eine Musikerin
un informaticien/une informaticienne;ein Informatiker/eine Informatikerin
un boucher/une bouchère;ein Metzger/eine Metzgerin
un boulanger/une boulangère;ein Bäcker/eine Bäckerin
un épicier/une épicière;ein Lebensmittelhändler/eine Lebensmittelhändlerin
un infirmier/une infirmière;ein Krankenpfleger/eine Krankenpflegerin
un roi/une reine;ein König/eine Königin
un héros/ une héroïne;ein Held/eine Heldin
un copain/une copine;ein Freund/eine Freundin
un fou/une folle;ein Verrückter/eine Verrückte
