crime;Verbrechen;
criminal;Verbrecher(in);
punishment;Strafe;verb: to punish
burglar;Einbrecher(in);
antique;Antiquität;She collects antiques from Asia. 
jewellery;Schmuck;
burglar alarm;Alarmanlage ;
search;"Durchsuchung; durchsuchen";Note: (to) look for / (to) search for = suchen
valuables;Wertsachen;What is the best place to hide your valuables? 
particular;bestimmt, besonders;"""Why did you ask?"" ""Oh, no particular reason, just making conversation."""
hide (hid, hidden);verstecken;sich verstecken = to hide oneself
unanimous(ly);einstimmig;
deterrent;Abschreckung;A barking dog can serve as a deterrent to a burglar.
jail;Gefängnis;synonym: prison
worth;wert/der Wert;Our house is worth £2 million. / He felt as though he had no worth.
worth + -ing;;Do you think it's worth asking Patrick first?
dismantle;zerlegen, abmontieren;
item;Ding, Artikel;What's the least important item on your to-do list?
fairly;ziemlich;"synonym: quite; more than average, but less than very"
occupied;besetzt;The bathroom's occupied - I think John's in there.
disturb;stören;Please don't disturb Georgina - she's trying to do her homework.?
resident;Bewohner(in);of a country, a street, a house, etc.
consider + -ing;etw in Erwägung ziehen;We're considering selling the house.
magician;Magier(in);
pickpocket;Taschendieb(in);
supply;"Lieferung; liefern";I’m the director of a company which supplies paper.
skilful(ly);geschickt;He picked pockets so skilfully – he was a professional. 
Tube;Londoner Untergrundbahn;The London Underground is also called ‘the Tube’. 
blackmail;Erpressung ;
blackmailer;Erpresser(in);
blackmail;erpressen;He was blackmailed into paying her to keep quiet. 
bribery;Bestechung ;
bribe;bestechen ;
burglary;Einbruch ;
burglar;Einbrecher(in);
break in / burgle;einbrechen;
drug dealing;Drogenhandel ;
drug dealer;Drogenhändler(in);
sell drugs;Drogen verkaufen;
fraud;Unterschlagung ;
commit fraud;einen Betrug begehen ;
hijacking;Entführung ;A hijacker takes control of something (a plane, etc.) using violence.
hijacker;Entführer(in);A kidnapper takes someone away by force demanding money.
hijack;entführen ;Two men tried to hijack the plane. 
kidnapping;Entführung, Kidnapping;
kidnapper;Entführer(in);
kidnap, -pped;entführen, kidnappen ;A woman walked in and tried to kidnap a baby. 
mugging;Raub ;
mugger;Räuber(in);
mug, -gged;ausrauben ;
murder;Mord;
murderer;Mörder(in);
murder;morden ;
manslaughter;Totschlag;When a killing is not intentional it is manslaughter. 
assassination;Attentat ;assassination = murder of an important person, usually for political reasons
assassinate;ermorden ;President J F Kennedy was assassinated in 1963. 
rape;Vergewaltigung;
rapist;Vergewaltiger(in);
rape;vergewaltigen;
robbery;Raub, Überfall;commit / take part in a robbery
robber;Räuber(in) ;a bank robber
rob, -bbed;ausrauben ;to steal from someone or somewhere, often using violence / to rob a bank
smuggling;Schmuggeln;
smuggler;Schmuggler(in);
smuggle;schmuggeln;
terrorism;Terrorismus;
terrorist;Terrorist(in);
set off bombs;Bomben zünden;
theft;Diebstahl;
thief;Dieb(in);
steal (stole, stolen);stehlen;
vandalism;Vandalismus;
vandal;Vandale / Vandalin;
vandalize;mutwillig beschädigen;
arrest;verhaften;
commit, -tted;begehen;There was no proof that he had committed the crime. 
catch (a criminal);fangen;
charge sb with sth;anklagen wegen;Carl and Adam were charged with murder.
investigate;untersuchen;The police investigated the crime last year. 
question;verhören;The police questioned him for hours. 
acquit, -tted;freisprechen;He was acquitted of all charges and allowed to go free. 
court;Gericht;
evidence;Beweis;synonym: proof
guilty;schuldig;opposite: not guilty, innocent
judge;Richter(in);
jury;Geschworene;evidence: He was arrested despite the lack of evidence against him.
proo;Beweis;proof: She showed us her passport as proof of her identiy.
punishment;Strafe;
sentence;Urteil, Strafe;The burglar was given a sentence of 2 years. 
sentence sb to sth;(jdm zu etw) verurteilen;
verdict;Urteil (schuldig, nicht schuldig);The jury are going to deliver their verdict tomorrow. 
witness;Zeuge/Zeugin;
(six months) in prison;sechsmonatige Gefängnisstrafe;The judge sentenced her to six months in prison. 
community service;gemeinnützige Arbeit;He was sentenced to 100 hours of community service. 
fine;Geldstrafe;
life sentence;lebenslängliche Freiheitsstrafe;The murderer was given a life sentence.
capital punishment;Todesstrafe;synonym: death penalty
shoplifter;Ladendieb(in);a thief who steals things when he/she's in a shop
accuse sb of sth;jem. für etwas anklagen;He was falsely accused of murder.
trial;Gerichtsverhandlung;be on/ stand trial for sth
World Cup;Weltmeisterschaft;
parrot;Papagei;
be on duty;im Dienst sein;
order;"Befehl; befehlen / Bestellung, bestellen";
owner;Besitzer(in);verb: to own
belong to;gehören (zu);
let sb down;jmd im Stich lassen;
hypnotic;hypnotisch;
hypnotize;hypnotisieren;
hypnotist;Hypnotiseur(in);
interrogate;verhören;He was interrogated by police in prison in Argentina. 
in custody;in Verwahrung, Gewahrsam;A judge ordered the prisoner to be held in custody. 
be taken into custody;in Gewahrsam genommen werden;
dispute;"Streit; streiten";
anthem;Hymne;national anthem
(be in a) trance;(in) Trance (sein);He sat staring out of the window as if in a trance.
suspect;"Verdächtige(r); verdächtigen";
bank clerk;Bankangestellte(r) ;
cashier;Kassierer(in);
armed;bewaffnet;armed robbery
till;(Laden)kasse;
threaten sb with sth;jmd mit etwas bedrohen;
threat;Drohung;
fit;entsprechen, angemessen sein;The punishment should always fit the crime.
appropriate;angebracht, angemessen;opposite: inappropriate
effective;wirksam, effektiv;opposite: ineffective
offender;Straftäter(in);
conventional;konventionell;opposite: unconventional
to abandon;"aussetzen; verlassen";
kitten;Kätzchen;
a loaded gun;geladene (Schuss-)Waffe;
arsonist;Brandstifter(in);An arsonist set fire to a local restaurant.
arson;Brandstiftung;
set fire to sth;etaws anzünden;
bark;"Bellen; bellen";
incessant(ly);unaufhörlich, unermüdlich;Their dogs bark incessantly and bother everyone. 
virus;Virus;A computer virus can infect thousands of PCs. 
infect;infizieren;noun: infection
justice;Gerechtigkeit;Making a vandal repaint a wall is ‘creative justice’. Opposite: injustice
presidency;Präsidentschaft;This year he won the presidency of the law society. 
speeding;Rasen;I was caught speeding, and had to pay a fine. 
mortuary;Leichenschauhaus;
tough;schwierig (hier);She comes from a tough family background. 
victim;Opfer;
prestigious;angesehen, renommiert;I didn’t go to a prestigious law firm. 
humiliation;Demütigung;verb: to humiliate
fulfil;erfüllen;Fulfilling the contract was extremely difficult. 
cruel;grausam;noun: cruelty
drawer;Schublade;
