prévenir qn;"jdn. benachrichtigen; jdn. warnen"
une conséquence;"eine Folge; eine Konsequenz"
dont;"dessen/deren (Relativpronomen); von dem/von der/von denen; über den/die/das"
une porte;eine Tür
s'ouvrir;sich öffnen
tuer qn;jdn. töten
Tant pis !;Dann eben nicht!
un ordinateur portable;"ein Notebook; ein Laptop"
un câble;ein Kabel
enregistrer qc;"etw. aufnehmen; etw. aufzeichnen"
faire attention à qc;"auf etw. aufpassen; etw. beachten"
le son;"der Klang; der Ton"
un montage;"ein Schnitt (Film); eine Montage"
une chaîne;ein Kanal
un jeu de société;ein Gesellschaftsspiel
chéri/chérie;"Liebling; Schatz"
le sourire;das Lächeln
avoir horreur de qc/qn;"etw./jdn. verabscheuen; etw./jdn. hassen"
une lettre;"ein Buchstabe; ein Brief"
en même temps;gleichzeitig
liker qc;etw. liken
une vue;ein Aufruf (von Seiten im Internet)
arrêter de faire qc;aufhören etw. zu tun
augmenter;"steigen; wachsen"
;
;
;
;
;
;
;
;
;
