le parcours;der Werdegang
ordinaire;gewöhnlich
un youtubeur/une youtubeuse;ein Youtuber/eine Youtuberin
un blogueur/une blogueuse;ein Blogger/eine Bloggerin
un créateur/une créatrice;ein Schöpfer/eine Schöpferin
l'économie (f.);die Wirtschaft
poster qc;"etw. ins Internet stellen; etw. posten"
humoristique;"humoristisch; witzig"
un abonné/une abonnée;ein Abonnent/eine Abonnentin
atteindre qc;etw. erreichen
un milliard;eine Milliarde
un roi/une reine;ein König/eine Königin
une piste;eine Piste
le ski;"der Ski; das Skifahren"
un handicap;eine Behinderung
le bras;der Arm
une médaille d'or;eine Goldmedaille
un/une écologiste (un/une écolo);ein Umweltschützer/eine Umweltschützerin
engagé/engagée;engagiert
un animateur/une animatrice;ein(e) (Fernseh-/Radio-) Moderator(in)
s'engager pour qc;"sich für etw. einsetzen; sich engagieren"
une pétition;eine Petition
un/une SDF (sans domicile fixe = ohne feste Unterkunft);ein Obdachloser/eine Obdachlose
un génie;ein Genie
le web;das Netz
se passionner pour qc;sich für etw. begeistern
l'écologie;der Umweltschutz
la protection;der Schutz
la protection de l'environnement;der Umweltschutz
un lycéen/une lycéenne;ein Gymnasiast/eine Gymnasiastin
un syndicat;"eine Gewerkschaft (hier: Schülervertretung); ein Verband"
une victime;ein Opfer
témoigner;"aussagen (als Zeuge); berichten"
