(gegangen);allé;aller;[a.le]
(empfangen);accueilli;accueillir;[a.kœ.ji]
(gelernt);appris;apprendre;[ap?i]
(gesetzt);assis;s’asseoir;[a.si]
(gehabt);eu;avoir;[y]
"(geschlagen; geprügelt)";battu;battre;[ba.ty]
(getrunken);bu;boire;[by]
(verstanden);compris;comprendre;[k??.p?i]
(gefahren);conduit;conduire;[k??.d?i]
(gekannt);connu;connaître;[k?.ny]
(gebaut);construit;construire;[k??.st??i]
(besiegt);convaincu;convaincre;[k??.v??.ky]
(gerannt);couru;courir;[ku.?y]
(geglaubt);cru;croire;[k?y]
(enttäuscht);déçu;décevoir;[de.sy]
(beschrieben);décrit;décrire;[de.k?i]
(geworden);devenu;devenir;[d?.v?.ny]
(gemusst);dû;devoir;[dy]
(gesagt);dit;dire;[di]
(verschwunden);disparu;disparaître;[dis.pa.ry]
(geschrieben);écrit;écrire;[e.k?i]
(gewesen);été;être;[e.te]
(ausgeschlossen);exclu;exclure;[?ks.kly]
(gemacht);fait;faire;[f?]
(brauchte);fallu;falloir;[fa.ly]
"(geflohen; geflüchtet)";fuit;fuir;[f?i]
(verboten);interdit;interdire;[??.t??.di]
(unterbrochen);interrompu;interrompre;[??.t?.???.py]
(eingeführt);introduit;introduire;[??.t??.d?i]
(gelesen);lu;lire;[ly]
"(angezogen; gelegt; gestellt; gesetzt)";mis;mettre;[mi]
(gestorben);mort;mourir;[m??]
(gefallen);plu;plaire;[ply]
(geregnet);plu;pleuvoir;[ply]
(gekonnt);pu;pouvoir;[py]
(genommen);pris;prendre;[p?i]
(benachrichtigt);prévenu;prévenir;[p?e.v?.ny]
(versprochen);promis;promettre;[p??.mi]
(empfangen);reçu;recevoir;[??.sy]
(wiedererkannt);reconnu;reconnaître;[??.k?.ny]
(gelacht);ri;rire;[?i]
(gewusst);su;savoir;[sy]
(genügt);suffi;suffire;[sy.fi]
(gefolgt);suivi;suivre;[s?i.vi]
"(festgehalten; gehalten)";tenu;tenir;[t?.ny]
(gekommen);venu;venir;[v?.ny]
(gelebt);vécu;vivre;[ve.ky]
(gesehen);vu;voir;[vy]
(gewollt);voulu;vouloir;[vu.ly]
